"","TNFRSF9","JUN","DNAJB4","PLEKHO1","HSPA6","BTG2","ATF3","DUSP10","EGR2","DUSP8","TNNT3","IGF2-AS","KCNQ1DN","TUB","BBOX1","APLNR","FOLR2","TMEM126B","DDX25","CLEC4E","CLEC1B","CLEC7A","TAS2R7","NR4A1","NCKAP1L","ANKS1B","TRPC4","NFKBIA","FOS","GPR68","DNAJA4","SLC28A1","KLHL25","SSTR5","TPSD1","IL32","RRAD","TRPV2","PYY2","IKZF3","PIEZO2","TICAM1","MAG","ZFP36","ATP1A3","BCL3","FOSB","KLK15","ZNF613","EGR4","CNGA3","IL1A","GYPC","DLX2","CCL20","MMP9","CASS4","TSSK2","CLTCL1","FBLN2","CD96","TSC22D2","PTX3","NKX3-2","CXCL1","CXCL3","CXCL2","PRDM8","SLC9A3","EGR1","PCDHB12","DUSP1","DRD1","FOXF2","OR10C1","TNFAIP3","NOX3","CAMK2B","VGF","RARRES2","LY6H","GRINA","CCL27","SPAG8","MAMLD1","L1CAM"
"Series1_NHBE_Mock_1",2.07944154167984,7.77527584648686,5.50125821054473,3.89182029811063,2.83321334405622,7.71601526664259,4.45434729625351,6.85540879860993,1.38629436111989,3.43398720448515,1.09861228866811,0,0,2.19722457733622,3.63758615972639,0,0,5.36129216570943,0.693147180559945,0,0,1.6094379124341,0,2.07944154167984,0,1.09861228866811,0,7.16472037877186,6.82762923450285,4.89034912822175,5.37989735354046,0.693147180559945,4.53259949315326,0,0,6.19236248947487,3.66356164612965,1.09861228866811,0.693147180559945,0,2.39789527279837,6.66057514983969,0,6.72503364216684,2.484906649788,5.37989735354046,3.04452243772342,0,4.80402104473326,0,0,6.93049476595163,2.19722457733622,1.79175946922805,4.04305126783455,4.45434729625351,2.70805020110221,0,5.76519110278484,2.99573227355399,1.6094379124341,6.25190388316589,0,0,6.60258789218934,4.15888308335967,5.6970934865054,3.29583686600433,2.30258509299405,7.52671756135271,0.693147180559945,6.90775527898214,0,0.693147180559945,0,6.81124437860129,0,0.693147180559945,0,0,0,7.53155238140729,0.693147180559945,0.693147180559945,4.18965474202643,6.21860011969173
"Series1_NHBE_Mock_2",2.39789527279837,7.68845535654994,5.71042701737487,3.78418963391826,2.77258872223978,7.62851762657506,4.20469261939097,6.77308037565554,1.6094379124341,3.40119738166216,0,0,0,1.79175946922805,3.49650756146648,1.09861228866811,0,5.17048399503815,0,0,0,2.07944154167984,0,1.79175946922805,0,1.09861228866811,0,7.25559127425367,6.880384082186,4.81218435537242,5.46806014113513,0,4.15888308335967,0,0,6.02102334934953,3.89182029811063,0,0.693147180559945,0.693147180559945,2.56494935746154,6.55819780281227,0,6.88755257166462,2.19722457733622,5.56068163101553,2.63905732961526,0,4.52178857704904,0,0,6.81014245011514,1.6094379124341,0,4.36944785246702,4.66343909411207,2.07944154167984,0,5.79301360838414,3.29583686600433,1.38629436111989,6.31716468674728,0.693147180559945,1.38629436111989,6.76272950693188,3.91202300542815,5.71373280550937,3.43398720448515,1.38629436111989,7.68294316987829,0,7.09174211509515,0,0.693147180559945,0,6.90274273715859,0,0.693147180559945,0,0,0,7.52779398772144,1.09861228866811,1.09861228866811,3.87120101090789,6.19644412779452
"Series1_NHBE_Mock_3",2.19722457733622,8.09223940672421,6.48768401848461,4.31748811353631,3.71357206670431,8.18451375303372,4.76217393479776,7.08673793451058,1.94591014905531,4.00733318523247,1.38629436111989,0.693147180559945,0,2.07944154167984,3.95124371858143,0,0,5.92425579741453,0.693147180559945,0,0,1.79175946922805,0,1.09861228866811,1.79175946922805,0,0,7.56734567601324,7.20414929203594,4.96284463025991,5.99893656194668,1.6094379124341,4.45434729625351,0,0,6.35437004079735,4.0943445622221,1.09861228866811,1.09861228866811,0,2.30258509299405,6.88448665204278,0,7.10906213568717,2.56494935746154,5.71702770140622,2.89037175789616,0,5.33753807970132,0,0,7.67878899819915,2.39789527279837,1.79175946922805,4.70048036579242,4.77068462446567,2.77258872223978,0,6.22851100359118,3.52636052461616,2.30258509299405,6.8330317327862,1.6094379124341,0,7.12849594568004,3.68887945411394,5.77144112313002,3.91202300542815,0,7.93164402145431,0.693147180559945,7.52725591937378,0,0.693147180559945,0,7.20191631753163,0,1.94591014905531,0,0,0,7.80669637252118,0,1.6094379124341,3.97029191355212,6.4723462945009
"Series1_NHBE_SARS.CoV.2_1",1.94591014905531,7.68937110752969,5.16478597392351,3.97029191355212,3.04452243772342,7.57147364885127,4.33073334028633,6.30809844150953,0,4.02535169073515,0,1.09861228866811,0,0.693147180559945,2.89037175789616,1.09861228866811,0,5.29831736654804,0,0,0,0.693147180559945,0,1.38629436111989,0.693147180559945,1.09861228866811,0,7.79234892411304,6.87316383421252,4.99721227376411,5.54907608489522,0.693147180559945,4.55387689160054,0,0,6.74758652682932,4.20469261939097,1.38629436111989,0,0.693147180559945,1.79175946922805,6.76041469108343,0,6.85118492749374,1.6094379124341,5.94803498918065,3.13549421592915,0,4.57471097850338,0,0,7.5963923040642,0.693147180559945,0.693147180559945,6.41836493593621,6.30627528694802,2.07944154167984,0,5.61312810638807,2.94443897916644,1.09861228866811,6.28599809450886,1.09861228866811,0.693147180559945,7.57712193087668,5.03695260241363,6.31896811374643,3.63758615972639,1.09861228866811,7.47250074473756,0.693147180559945,7.28069719538474,0,1.09861228866811,0,7.9098566672694,0,0,0,0.693147180559945,0,7.42773884053289,0,1.79175946922805,3.85014760171006,6.36647044773144
"Series1_NHBE_SARS.CoV.2_2",1.79175946922805,7.68570306123455,5.40267738187228,4.02535169073515,2.63905732961526,7.54591815120932,4.79579054559674,6.24997524225948,0.693147180559945,3.63758615972639,0,0,0,1.6094379124341,2.77258872223978,0.693147180559945,0,5.36597601502185,0,0,0,1.79175946922805,0,1.94591014905531,0,0,0,7.66902828858968,6.7945865808765,4.77912349311153,5.4553211153577,1.09861228866811,4.46590811865458,0,0,6.82437367004309,3.46573590279973,0.693147180559945,0.693147180559945,1.09861228866811,1.38629436111989,6.69826805411541,0,6.75227037614174,1.6094379124341,5.66296048013595,3.09104245335832,0,4.70048036579242,0,0.693147180559945,7.66152708135852,1.6094379124341,1.09861228866811,6.28226674689601,5.83773044716594,1.09861228866811,0,5.5683445037611,2.07944154167984,0,6.13988455222626,1.09861228866811,0,7.58426481838906,5.45958551414416,6.56385552653213,3.3322045101752,1.09861228866811,7.44483327389219,0,7.18159194461187,0,0,0,7.86518795418747,0,1.09861228866811,0,0,0,7.23993259132047,0,0.693147180559945,3.58351893845611,6.08449941307517
"Series1_NHBE_SARS.CoV.2_3",2.70805020110221,8.71028982137815,6.34388043412633,4.90527477843843,3.95124371858143,8.5079506100493,5.31320597904179,7.32580750259577,1.09861228866811,4.80402104473326,0,0.693147180559945,0,2.39789527279837,3.78418963391826,1.6094379124341,1.38629436111989,6.44094654063292,1.38629436111989,0,0,2.30258509299405,0,2.63905732961526,0,0.693147180559945,0,8.71456755083648,7.85476918349913,5.6937321388027,6.4425401664682,2.07944154167984,5.4249500174814,0,0,7.85979918056211,4.95582705760126,2.07944154167984,0,0.693147180559945,3.36729582998647,7.7066129139642,0,7.70165236264223,2.484906649788,6.87626461189077,4.04305126783455,0,5.72031177660741,0,0,8.76467807411661,2.07944154167984,1.09861228866811,7.27724772663148,6.71780469502369,2.63905732961526,0,6.73101810048208,3.04452243772342,2.07944154167984,7.3125534981026,2.30258509299405,0,8.61504559158374,6.26909628370626,7.5234813125735,4.64439089914137,2.484906649788,8.45595588194505,0,8.2220164372022,0,1.6094379124341,0,8.81774212957484,0,0,0,0,0,8.41360887515967,1.94591014905531,0.693147180559945,4.64439089914137,7.18841273649695
"Series2_A549_Mock_1",4.45434729625351,7.51479976048867,5.97380961186926,4.91998092582813,1.94591014905531,5.58724865840025,4.43081679884331,4.80402104473326,0,4.54329478227,0,0.693147180559945,0,6.82546003625531,1.09861228866811,2.19722457733622,0,6.75809450442773,0,5.05624580534831,0,0,0,7.23777819192344,0,2.77258872223978,0,7.65207074611648,4.31748811353631,1.94591014905531,1.79175946922805,1.38629436111989,5.79909265446053,2.19722457733622,0,5.82600010738045,2.83321334405622,2.07944154167984,1.94591014905531,0.693147180559945,5.65948221575962,5.38449506278909,0,6.55819780281227,4.68213122712422,7.20934025660291,2.484906649788,0,3.3322045101752,0.693147180559945,0,3.13549421592915,0,1.94591014905531,5.32300997913841,2.39789527279837,0.693147180559945,0,6.01126717440416,2.07944154167984,1.09861228866811,5.79605775076537,2.77258872223978,3.13549421592915,7.28344822875663,6.0730445341004,6.22851100359118,2.19722457733622,4.89783979995091,2.19722457733622,0,8.29304913976844,4.84418708645859,6.01126717440416,0,6.55677835615804,0,1.38629436111989,3.3322045101752,0,0,7.83280751652486,0.693147180559945,2.56494935746154,5.67332326717149,5.3890717298165
"Series2_A549_Mock_2",3.58351893845611,6.93049476595163,5.28826703069454,4.30406509320417,2.30258509299405,5.06890420222023,4.04305126783455,4.21950770517611,0,4.12713438504509,0,0.693147180559945,0,6.2709884318583,0,1.09861228866811,0,6.0137151560428,0,4.11087386417331,0,0,0,6.64118216974059,1.09861228866811,2.83321334405622,0,7.07072410726028,3.73766961828337,2.19722457733622,1.38629436111989,0.693147180559945,5.31320597904179,1.6094379124341,0.693147180559945,5.4249500174814,2.63905732961526,1.38629436111989,1.6094379124341,0,4.77912349311153,4.89034912822175,0,6.03068526026126,3.76120011569356,6.55250788703459,1.38629436111989,0,2.77258872223978,0,0,2.56494935746154,0,1.94591014905531,4.89034912822175,1.6094379124341,0,0,5.43372200355424,1.6094379124341,0,5.28320372873799,2.30258509299405,2.63905732961526,6.83625927727707,5.71373280550937,5.73009978297357,1.6094379124341,4.21950770517611,1.38629436111989,0,7.72356247227797,4.23410650459726,5.10594547390058,0,6.07073772800249,0,0,2.63905732961526,0,0,7.24136628332232,0,2.39789527279837,4.969813299576,5.03043792139244
"Series2_A549_Mock_3",3.13549421592915,6.68085467879022,4.70953020131233,4.18965474202643,1.6094379124341,4.70048036579242,3.58351893845611,4.06044301054642,0.693147180559945,3.71357206670431,0,0,0,6.04737217904628,0,0,0,5.70711026474888,0,3.73766961828337,0,0,0,6.34035930372775,0,2.07944154167984,0,6.88653164253051,3.3322045101752,2.07944154167984,1.09861228866811,1.09861228866811,4.99043258677874,0.693147180559945,0,5.02388052084628,2.39789527279837,1.09861228866811,1.79175946922805,0,4.89034912822175,4.66343909411207,0,5.65599181081985,3.43398720448515,6.38687931936265,1.09861228866811,0,2.99573227355399,0,0,1.6094379124341,0,1.09861228866811,4.30406509320417,1.38629436111989,0.693147180559945,0,5.23110861685459,1.38629436111989,0.693147180559945,5.03695260241363,1.6094379124341,2.63905732961526,6.71901315438526,5.5834963087817,5.50125821054473,0,3.91202300542815,1.38629436111989,0,7.4301141385618,3.95124371858143,5.25749537202778,0,5.75574221358691,0,1.38629436111989,2.484906649788,0,0,6.94022246911964,1.38629436111989,1.79175946922805,4.49980967033027,4.54329478227
"Series2_A549_SARS.CoV.2_1",4.58496747867057,7.66528471847135,6.49978704065585,4.9416424226093,2.70805020110221,5.74300318780948,4.47733681447821,5.05624580534831,0.693147180559945,4.67282883446191,0,0,0,6.9782137426307,0,1.79175946922805,0,7.11801620446533,1.09861228866811,5.59842195899838,0,0,0,7.31388683163346,0,2.83321334405622,0,8.10046489102936,4.9416424226093,2.07944154167984,2.30258509299405,1.09861228866811,5.85793315448346,2.19722457733622,0,6.27476202124194,2.94443897916644,1.38629436111989,2.07944154167984,0,6.0137151560428,5.51342874616498,0,6.60934924316738,4.54329478227,7.40913644392013,1.94591014905531,0,3.80666248977032,0,0,4.17438726989564,0,0.693147180559945,6.383506634884,1.94591014905531,1.38629436111989,0,5.9427993751267,2.07944154167984,1.09861228866811,5.97888576490112,3.13549421592915,3.25809653802148,8.02059914989697,6.84374994900622,6.96790920180188,2.07944154167984,4.55387689160054,2.77258872223978,1.09861228866811,8.43402895015547,5.19849703126583,6.10479323241498,0,7.02464903045364,0,1.38629436111989,3.52636052461616,0,0,7.89878235697031,1.6094379124341,2.77258872223978,5.55682806169954,5.55295958492162
"Series2_A549_SARS.CoV.2_2",4.33073334028633,7.54908271081229,5.89989735358249,5.06259503302697,2.30258509299405,5.6021188208797,4.43081679884331,4.79579054559674,1.09861228866811,4.82028156560504,0,0,0,6.75576892198425,0,1.09861228866811,0,6.5424719605068,0,5.14166355650266,0,0,0,7.23489842031483,0,3.09104245335832,0,7.92804560087478,4.4188406077966,1.94591014905531,0,0.693147180559945,5.88332238848828,1.79175946922805,0,6.22257626807137,2.56494935746154,1.6094379124341,1.94591014905531,0.693147180559945,5.77455154554441,5.51342874616498,0,6.59167373200866,4.44265125649032,7.36518012602101,1.38629436111989,0,3.76120011569356,0,0.693147180559945,3.73766961828337,0,1.79175946922805,6.03787091992214,2.19722457733622,0.693147180559945,0,5.88332238848828,2.19722457733622,0,5.81413053182507,3.52636052461616,3.04452243772342,7.81802793853073,6.74875954749168,6.80350525760834,2.07944154167984,4.51085950651685,2.63905732961526,0,8.38320455141292,5.12396397940326,6.0137151560428,0,6.93731408122368,0,1.94591014905531,3.3322045101752,0,0,7.9098566672694,1.94591014905531,2.39789527279837,5.42934562895444,5.48479693349065
"Series2_A549_SARS.CoV.2_3",4.17438726989564,7.35115822643069,5.56068163101553,4.82028156560504,1.6094379124341,5.23110861685459,4.0943445622221,4.62497281328427,0,4.14313472639153,0,0,0,6.56526497003536,0,1.6094379124341,0,6.25766758788264,0.693147180559945,4.85203026391962,0,0,0,6.92559519711047,0,2.484906649788,0,7.7596141506969,4.23410650459726,1.79175946922805,1.94591014905531,1.09861228866811,5.5683445037611,2.07944154167984,0,5.89989735358249,2.77258872223978,1.38629436111989,1.6094379124341,0,5.52545293913178,5.24174701505964,0,6.2803958389602,4.21950770517611,7.00124562206948,1.79175946922805,0,3.40119738166216,0,0,3.43398720448515,0,1.6094379124341,5.66988092298052,1.94591014905531,0,0,5.7268477475872,2.30258509299405,0,5.52146091786225,2.94443897916644,2.77258872223978,7.55433482372575,6.45990445437753,6.51767127291227,1.94591014905531,4.36944785246702,2.484906649788,0,8.14960173573616,4.79579054559674,5.6970934865054,0,6.65929391968364,0,1.79175946922805,3.3322045101752,0,0,7.58426481838906,1.6094379124341,2.19722457733622,5.12989871492307,5.16478597392351
"Series3_A549_Mock_1",3.63758615972639,8.4071550862073,4.91265488573605,5.04985600724954,2.30258509299405,5.7268477475872,6.72982407048948,5.34233425196481,5.09375020080676,5.47646355193151,0,0,0,5.92157841964382,0.693147180559945,0,0,6.4831073514572,0,6.03787091992214,0,0,0,9.6193325858605,1.79175946922805,2.70805020110221,0,8.65538869016764,9.97385281519669,3.3322045101752,2.19722457733622,2.19722457733622,5.37989735354046,4.34380542185368,0,6.63200177739563,3.25809653802148,2.56494935746154,3.97029191355212,0,5.21493575760899,5.96614673912369,0,9.59437753267073,4.54329478227,8.13534694890671,8.85066091901715,0,2.89037175789616,0,0,2.94443897916644,0,1.38629436111989,7.95682712209011,3.58351893845611,1.79175946922805,0,5.11799381241676,0.693147180559945,0.693147180559945,5.13579843705026,1.38629436111989,3.36729582998647,8.73214326770192,7.900636613018,8.53503310954457,2.77258872223978,5.52146091786225,9.28163725385822,1.38629436111989,9.00146947994869,4.45434729625351,5.84354441703136,0,7.22037383672395,0,2.39789527279837,4.06044301054642,0,0,8.31483217928456,2.70805020110221,3.52636052461616,5.4249500174814,4.91265488573605
"Series3_A549_Mock_2",3.55534806148941,8.1961611392829,5.30330490805908,4.47733681447821,1.09861228866811,5.64897423816121,6.87523208727658,5.2257466737132,5.06259503302697,5.22035582507832,0,0,0,5.83773044716594,0,0,0,6.28226674689601,0.693147180559945,6.22059017009974,0,0,0,9.50888819773827,1.09861228866811,2.56494935746154,0,8.67265729404031,9.82827897493837,2.484906649788,1.38629436111989,1.79175946922805,5.26785815906333,3.87120101090789,0.693147180559945,6.22455842927536,2.89037175789616,2.07944154167984,3.3322045101752,0,5.00394630594546,5.53733426701854,0,9.36194495610808,4.14313472639153,7.67600993202889,8.74782860848874,0,2.30258509299405,1.6094379124341,0,2.94443897916644,0,1.6094379124341,7.91461770904068,2.56494935746154,0,0,4.70953020131233,0.693147180559945,0,5.04342511691925,0.693147180559945,2.83321334405622,8.5387589693308,7.71423114484909,8.47177732788576,2.56494935746154,5.48063892334199,9.15915233520675,1.38629436111989,8.93761259130621,4.20469261939097,5.6970934865054,0,7.09672137849476,0,1.6094379124341,3.55534806148941,0,0,8.12029131396856,1.6094379124341,3.13549421592915,5.29831736654804,4.97673374242057
"Series3_A549_RSV_1",3.2188758248682,7.54062152865715,3.52636052461616,3.97029191355212,2.70805020110221,3.29583686600433,4.7361984483945,3.85014760171006,3.3322045101752,4.49980967033027,0,0,0,4.65396035015752,0,0,0,5.39362754635236,0,5.51342874616498,0,0,0,8.44311598801992,0,1.09861228866811,0,8.11969625295725,8.43576619272051,2.56494935746154,1.6094379124341,1.09861228866811,4.14313472639153,1.94591014905531,0,5.56068163101553,2.63905732961526,1.38629436111989,2.19722457733622,0,4.11087386417331,4.98360662170834,0,8.44225410475174,3.46573590279973,7.27793857294566,7.11395610956603,0,1.38629436111989,0.693147180559945,0,2.56494935746154,0,0,7.29301767977278,1.09861228866811,0,0,4.00733318523247,0,0,3.95124371858143,1.38629436111989,2.39789527279837,8.150467911624,7.29844510150815,7.89543600694297,2.63905732961526,4.51085950651685,8.10621290261996,0.693147180559945,7.77317368048254,3.2188758248682,4.95582705760126,0,6.8627579130514,0,0.693147180559945,3.55534806148941,0,0,7.69348164083518,0.693147180559945,1.09861228866811,4.63472898822964,4.63472898822964
"Series3_A549_RSV_2",2.70805020110221,6.82979373751242,2.94443897916644,4.04305126783455,2.484906649788,2.89037175789616,4.69134788222914,3.13549421592915,3.25809653802148,3.71357206670431,0,0,0,4.33073334028633,0,0,0,4.23410650459726,0,5.09375020080676,0,0,0,7.93343838762749,0,0.693147180559945,0,7.71199650704767,7.77611547709874,1.38629436111989,0,0,3.97029191355212,1.6094379124341,0,5.29831736654804,2.56494935746154,1.38629436111989,1.38629436111989,0,3.17805383034795,4.62497281328427,0,7.74932246466036,2.89037175789616,6.68461172766793,6.62140565176413,0,1.79175946922805,1.09861228866811,0,1.6094379124341,0,0.693147180559945,6.84481547920826,1.94591014905531,0,0,3.71357206670431,0,0,3.09104245335832,0,1.38629436111989,7.69439280262942,6.64118216974059,7.15070145759253,2.19722457733622,4.14313472639153,7.57507169950756,0,7.27447955877387,3.04452243772342,4.35670882668959,0,6.18620862390049,0,0.693147180559945,2.07944154167984,0,0,7.19142933003638,0,1.38629436111989,4.29045944114839,4.45434729625351
"Series4_A549_Mock_1",1.94591014905531,5.46806014113513,4.64439089914137,3.36729582998647,1.38629436111989,4.60517018598809,3.04452243772342,2.99573227355399,0,2.19722457733622,0,0,0,4.969813299576,0,0,0,5.08759633523238,0,0,0,0,0,4.48863636973214,0,1.6094379124341,0,5.72031177660741,1.94591014905531,1.79175946922805,1.09861228866811,0.693147180559945,3.97029191355212,1.79175946922805,0,2.56494935746154,0.693147180559945,1.38629436111989,0.693147180559945,0,2.39789527279837,3.63758615972639,0,4.12713438504509,3.17805383034795,5.05624580534831,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0.693147180559945,1.94591014905531,0,0,4.14313472639153,1.09861228866811,0,4.21950770517611,0,2.56494935746154,2.70805020110221,2.39789527279837,2.484906649788,0.693147180559945,2.89037175789616,0.693147180559945,0,6.19644412779452,3.17805383034795,4.06044301054642,0,3.73766961828337,0,1.38629436111989,1.94591014905531,0,0,5.98141421125448,0,1.6094379124341,3.85014760171006,4.04305126783455
"Series4_A549_Mock_2",3.04452243772342,5.90263333340137,5.57594910314632,3.76120011569356,0.693147180559945,5.35185813347607,3.85014760171006,3.85014760171006,0,2.94443897916644,0,1.09861228866811,0,5.61312810638807,0,0,0,5.90536184805457,0,0,0,0,0,5.15329159449778,0.693147180559945,1.94591014905531,0,6.53233429222235,2.94443897916644,1.79175946922805,1.6094379124341,0,4.79579054559674,1.38629436111989,0.693147180559945,3.46573590279973,2.484906649788,1.09861228866811,1.09861228866811,0,3.25809653802148,4.18965474202643,0,5.11799381241676,3.52636052461616,5.6937321388027,1.6094379124341,0,3.04452243772342,0,0,1.09861228866811,0,0.693147180559945,1.38629436111989,0,1.09861228866811,0,4.63472898822964,1.38629436111989,0,4.70048036579242,0,2.83321334405622,3.80666248977032,3.8286413964891,3.61091791264422,2.19722457733622,3.66356164612965,1.6094379124341,0.693147180559945,6.99484998583307,3.73766961828337,4.86753445045558,0,4.58496747867057,0,0,2.77258872223978,0,0,6.73340189183736,0.693147180559945,1.79175946922805,4.34380542185368,4.60517018598809
